Paragraph_Number,Content
1,Our editors will review what you’ve submitted and determine whether to revise the article.
2,"Cat (Felis catus), also called house cat or domestic cat, is a member of the family Felidae in the order Carnivora. It is also the smallest member of that family, which includes lions, tigers, and pumas."
3,"Studies suggest that there have been two lineages of cats. One lineage appeared in Asia Minor as early as 6,400 years ago, dispersing northward and westward into Europe. The other lineage appeared in Egypt between 6,400 and 1,000 years ago before spreading throughout the Mediterranean. Both lineages continued to breed with the African wildcat during their respective dispersals."
4,"The average weight of a household cat varies from 2.7 to 4.5 kg (6 to 10 pounds), although among non-pedigreed cats weights up to 12.7 kg (28 pounds) are not uncommon. Average lengths are 71.1 cm (28 inches) for males and 50.8 cm (20 inches) for females."
5,"The retina of the cat’s eye is made extra sensitive to light by a layer of guanine, which causes the eye to shine at night in a strong light. Cats’ eyes are large with pupils that expand or contract to mere slits according to the density of light."
6,"Domestic cats and other species of the genus Felis purr. Purring is a continuous, rattling hum and often is interpreted as an expression of pleasure or contentment. However, purring also occurs in cats that are injured and in pain."
7,"cat,  (Felis catus),  domesticated member (felid) of the family Felidae. The family is generally divided between cats from the subfamily Pantherinae, which roar (including  lions, tigers, and leopards), and cats from the subfamily Felinae, which purr instead (including cougars, bobcats, and domestic cats). According to the latest research, purring likely stems from a special pad within the folds of a cat’s vocal cords, which adds an additional layer of fatty tissue that enables the folds to vibrate (purr) at low frequencies. Domestic cats are characterized by retractable claws, powerful bodies, acute senses, long tails, and specialized teeth adapted for hunting prey."
8,"The following article deals with general characteristics of the domestic cat. For information on larger cats, see their individual entries (such as lion, tiger, and leopard). For information on housing the domestic cat, see cats as pets. For an account of the relationship of the cat family to other carnivores, see carnivore."
9,"After the nonavian dinosaurs became extinct, mammals became the dominant life forms. The first felinelike mammal, Proailurus, evolved about 30 million years ago. It is thought that all true cat species evolved from this small civetlike predator."
10,"Cats that resemble today’s felids first appeared in the early Pliocene Epoch (5.3 to 3.6 million years ago), and they have continued into present times with remarkably few changes. The original design of fang and claw, flexible backbone, muscular strength, and agility allowed felids to survive and adapt to the changes brought by each new era. Adaptations have occurred with changes in prey, but the basic body type has stayed the same."
11,"It is noteworthy that the ancestors of the other common household pet, the dog, were social animals that lived together in packs in which there was subordination to a leader, and, over time, the dog has readily transferred its allegiance from pack leader to human master. The cat, however, has not yielded as readily to subjugation. Moreover, the bodies, abilities, and temperaments of dogs have changed radically in the more than 30,000 years since they were domesticated, while domestic cats are almost identical to their wild counterparts. Cats show little of the infantilization of facial features seen in dogs and have retained much of their independent nature. In fact, the felid generally thought to be the closest ancestor of the domestic cat is a small wildcat native to the Middle East and Africa (Felis silvestris lybica) that is genetically virtually identical to domestics and readily interbreeds with them, so much so that, in some areas, the wildcat is in danger of ceasing to exist as a pure species. Consequently, cats have retained their independent nature and can thrive as predators in the wild today. This is why feral cats abound and why experts do not consider the cat to be a fully domesticated animal."
12,"The earliest known association between cats and humans likely dates to the origins of agriculture in the Middle East, about 15,000–10,000 years ago. Although the animal was certainly a source of meat and pelts, a partnership of sorts eventually developed between humans and cats, one based on mutual need. When humans gave up living as hunter-gatherers and began relying on agriculture, cats were attracted to the rodents feeding on crops and stored grain. Humans needed their grain protected from rodents, and cats needed a ready food source."
13,"Over time, cats became more than a form of pest control. A grave containing the remains of a human and a cat dating to about 9,500 years ago was discovered in southern Cyprus. Since Cyprus is an island and cats are not native, it is clear that cats were transported there by boat, and the burial suggests that cats were already considered companions. As domestic cats spread around the world along trade routes, the species became well adapted to life with humans."
14,"Cats held special status in ancient Egypt, where they evolved from useful predators protecting granaries from rodents to revered symbols of divinity. They were cherished pets, seen as divine protectors—in this life and the afterlife—and talismans of good fortune whose bodies may even be inhabited by gods. Cat cults and the temple worship of cats arose. Egyptian royalty adorned their cats in gold, while the lower classes made and wore jewelry depicting cats. Cat images were prominent in Egyptian art, on the walls of tombs, and on artifacts of daily life. Thousands of cat mummies have been discovered in Egypt, along with mouse mummies, presumably to provide food for the cats in the afterlife. All of this attests to the great social and cultural importance afforded cats in ancient Egypt."
15,"Cats have long been known to other cultures too. Wall tiles in Crete dating to 1600 bce depict hunting cats. In Greece evidence from art and literature indicates that the cat was present there from the 5th century bce, and tiles featuring cats appeared in China from 500 bce. In India cats were mentioned in Sanskrit writings about 100 bce, while the Arabs and the Japanese were not introduced to the cat until about 600 ce. The earliest record of cats in Britain dates to about 936 ce, when Hywel Dda, prince of south-central Wales, enacted laws for their protection."
16,"Cats have also figured prominently in assorted religions and world literatures. Surprisingly, the cat is mentioned only once in the Bible, in the Letter of Jeremiah. The Norse goddess Freyja was said to have a golden chariot pulled by two white longhaired cats, and the Egyptians revered a cat-headed goddess named Bastet. The Cat-Book Poems, a document dating from the Ayutthayan period (1351–1767) in Ayudhya, Siam (now in Thailand), contains illustrations and descriptions of various cats."
17,(Read Britannica’s “9 (Lives of) Famous Cat Lovers.”)
18,"Cats have also been long associated with sorcery and witchcraft, leading to their frequent mistreatment throughout history. Black cats in particular have been tied to witches, and at times they were burned alive along with their supposed witch cohorts. Superstitions involving cats are also prevalent. For example, in many Western countries, a black cat is considered bad luck, though the same cat in Japan is considered an omen of good fortune."
19,"Maneki-neko (“beckoning cat”) figurines, usually portrayed with one raised paw, are especially common in Japan. Usually portrayed as white or calico, maneki-neko is frequently seen in shops and restaurants and is a symbol of prosperity and good luck. (According to legend, maneki-neko was not a black cat; she was a calico.)"
20,"The cat is also a familiar figure in nursery rhymes, stories, and popular entertainment. The Greek writer Aesop made frequent mention of cats in his fables. The English legend of Dick Whittington details his journey from rags to riches due to his cat’s mousing prowess. Writers Théophile Gautier and Charles Baudelaire paid the cat homage, and in the 20th century Rudyard Kipling, Colette, and T.S. Eliot wrote about cats. Andrew Lloyd Webber’s musical Cats (1981) became one of the longest-running shows on Broadway."
