name,url
HOME,https://cfa.org/
CAT TALK,https://cfa.org/cat-talk/
Ecat Login,https://ecat.cfa.org/client/welcome.aspx
CATALOG,https://catalog.cfa.org/
Breeds,https://cfa.org/breeds/
Find a Breeder Website Advertising,https://find-a-breeder.cfa.org/
Breed Council Secretary Candidates,https://cfa.org/breed-council-declared-candidates/
2024 Breed Council Ballots,https://cfa.org/2024-breed-council-ballots/
Acceptance of New Breeds And Colors,https://cfa.org/cfa-new-breeds-and-colors/
Registration,https://cfa.org/registration-overview/
Registering a Cat For Outcross Breeding,https://catalog.cfa.org/certificates.shtml#domestic
Using CatTrack Litters on eCat,https://ecat.cfa.org/assets/docs/UsingCatTrackLitters.pdf
Shows & Events,https://cfa.org/shows-events/
Entering a Show,https://cfa.org/entering-a-show/
Archives & Show Counts,https://cfa.org/official-show-counts/
Annual Meeting & Awards Ceremony,https://cfa.org/annual/
International Show & Expo,https://cfa.org/catexpo/
CFA Show Catalog Forms,https://cfa.org/cfa-show-catalog-forms/
Judges’ Emeritus,https://cfa.org/judges-emeritus/
Judges’ Association Spotlight Recipients,https://cfa.org/judges-association-spotlight-recipients/
CFA Bylaws,https://cfa.org/wp-content/uploads/2024/06/cfa-by-laws.pdf
CFA Timetable,https://cfa.org/cfa-timetable/
Abusive Conduct Prevention Policy,https://cfa.org/wp-content/uploads/2024/07/CFA-abusive-conduct-policy.pdf
Conflict of Interest Policy,https://cfa.org/wp-content/uploads/2024/07/CFA-conflict-of-interest-policy.pdf
Health & Welfare Policy,https://cfa.org/wp-content/uploads/2024/08/CFA-health-and-welfare-policy.pdf
Whistleblower Policy,https://cfa.org/wp-content/uploads/2024/07/CFA-whistle-blower-policy.pdf
Apply for a New Club,https://cfa.org/cfa-member-clubs/#club-application
Current Club Applicants,https://cfa.org/cfa-member-clubs/#club-applicants
Top Cats Gallery,https://cfa.org/top-cats-gallery/
National Winners,https://cfa.org/top-cats-gallery/?_sft_cat_award_type=national-winners
Top Cats,https://cfa.org/top-cats-gallery/?_sft_cat_award_type=top-cats
Top Kittens,https://cfa.org/top-cats-gallery/?_sft_cat_award_type=top-kittens
Top Cats in Premiership,https://cfa.org/top-cats-gallery/?_sft_cat_award_type=top-premiers
Top Household Pets,https://cfa.org/top-cats-gallery/?_sft_cat_award_type=top-household-pets
Breed Winners,https://cfa.org/top-cats-gallery/?_sft_cat_award_type=breed-winners
Grands,https://cfa.org/top-cats-gallery/?_sft_cat_award_type=grands
Grands of Distinction,https://cfa.org/top-cats-gallery/?_sft_cat_award_type=grands-of-distinction
Regions 1-9,https://cfa.org/top-cats-gallery/?_sft_cat_region=r1-9
China,https://cfa.org/top-cats-gallery/?_sft_cat_region=china
International,https://cfa.org/top-cats-gallery/?_sft_cat_region=international
2024-25,https://cfa.org/top-cats-gallery/?_sft_cat_year=2024-25
2023-24,https://cfa.org/top-cats-gallery/?_sft_cat_year=2023-24
2022-23,https://cfa.org/top-cats-gallery/?_sft_cat_year=2022-23
2021-22,https://cfa.org/top-cats-gallery/?_sft_cat_year=2021-22
2020-21,https://cfa.org/top-cats-gallery/?_sft_cat_year=2020-21
2019-20,https://cfa.org/top-cats-gallery/?_sft_cat_year=2019-20
2018-19,https://cfa.org/top-cats-gallery/?_sft_cat_year=2018-19
2017-18,https://cfa.org/top-cats-gallery/?_sft_cat_year=2017-18
